timestamp_pred,timeframe,entry_price,predicted_price,direction_pred,target_time,actual_price,error_abs,status
2025-12-18 20:43:07.291408,6h,84980.3,86427.30246123896,UP,2025-12-19 02:43:07.291408,85615.4,811.9024612389621,COMPLETED
2025-12-18 20:43:07.291408,12h,84980.3,84546.86357322369,DOWN,2025-12-19 08:43:07.291408,88126.1,3579.2364267763187,COMPLETED
2025-12-18 21:18:29.831785,30m,85180.1,85604.8672592871,UP,2025-12-18 21:48:29.831785,85370.0,234.86725928710075,COMPLETED
2025-12-18 21:18:29.831785,1h,85180.1,85814.49222262815,UP,2025-12-18 22:18:29.831785,85370.0,444.4922226281488,COMPLETED
2025-12-18 21:18:29.831785,3h,85180.1,86763.3928709196,UP,2025-12-19 00:18:29.831785,85540.9,1222.49287091961,COMPLETED
2025-12-18 21:18:29.831785,6h,85180.1,86630.50455668644,UP,2025-12-19 03:18:29.831785,86423.7,206.8045566864457,COMPLETED
2025-12-18 21:18:29.831785,12h,85180.1,84745.64450647445,DOWN,2025-12-19 09:18:29.831785,87913.8,3168.155493525556,COMPLETED
2025-12-18 21:39:41.949907,30m,85444.0,85870.08324834704,UP,2025-12-18 22:09:41.949907,85370.0,500.083248347044,COMPLETED
2025-12-18 21:39:41.949907,1h,85444.0,86080.3576594796,UP,2025-12-18 22:39:41.949907,85588.7,491.6576594796061,COMPLETED
2025-12-18 21:39:41.949907,3h,85444.0,87032.19813621789,UP,2025-12-19 00:39:41.949907,85540.9,1491.298136217898,COMPLETED
2025-12-18 21:39:41.949907,6h,85444.0,86898.89811518788,UP,2025-12-19 03:39:41.949907,86803.8,95.09811518788048,COMPLETED
2025-12-18 21:39:41.949907,12h,85444.0,85008.19850189425,DOWN,2025-12-19 09:39:41.949907,87986.2,2978.0014981057466,COMPLETED
2025-12-18 22:20:48.242016,30m,85370.0,85795.7142328471,UP,2025-12-18 22:50:48.242016,85491.3,304.4142328470916,COMPLETED
2025-12-18 22:20:48.242016,1h,85370.0,86005.80653281417,UP,2025-12-18 23:20:48.242016,85385.6,620.2065328141616,COMPLETED
2025-12-18 22:20:48.242016,3h,85370.0,86956.82265447453,UP,2025-12-19 01:20:48.242016,85262.7,1694.1226544745296,COMPLETED
2025-12-18 22:20:48.242016,6h,85370.0,86823.63807983696,UP,2025-12-19 04:20:48.242016,87041.4,217.7619201630296,COMPLETED
2025-12-18 22:20:48.242016,12h,85370.0,84934.5759340236,DOWN,2025-12-19 10:20:48.242016,87892.3,2957.7240659764066,COMPLETED
2025-12-18 22:44:45.271908,30m,85588.7,86015.50482325032,UP,2025-12-18 23:14:45.271908,85491.3,524.2048232503148,COMPLETED
2025-12-18 22:44:45.271908,1h,85588.7,86226.13533554025,UP,2025-12-18 23:44:45.271908,85462.5,763.6353355402534,COMPLETED
2025-12-18 22:44:45.271908,3h,85588.7,87179.5877606539,UP,2025-12-19 01:44:45.271908,85291.6,1887.987760653894,COMPLETED
2025-12-18 22:44:45.271908,6h,85588.7,87046.06199512407,UP,2025-12-19 04:44:45.271908,87041.4,4.6619951240718365,COMPLETED
2025-12-18 22:44:45.271908,12h,85588.7,85152.16046906835,DOWN,2025-12-19 10:44:45.271908,88194.4,3042.239530931649,COMPLETED
2025-12-18 23:20:28.892858,30m,85491.3,85917.61911906526,UP,2025-12-18 23:50:28.892858,85381.1,536.5191190652549,COMPLETED
2025-12-18 23:20:28.892858,1h,85491.3,86128.00993368603,UP,2025-12-19 00:20:28.892858,85540.9,587.1099336860352,COMPLETED
2025-12-18 23:20:28.892858,3h,85491.3,87080.37732927818,UP,2025-12-19 02:20:28.892858,85615.4,1464.9773292781902,COMPLETED
